Year,Revenue,subsription_cost,Fulfillment_cost,Technology_development,Marketing,General_administrative,Interest,Disposals_DVD,Income,Expense,avg_paid_sub,trial_sub_attheend
2008,1364661,761133,149101,89873,199713,49662,0,6327,12452,2458,8268,1122
2009,1670269,909461,169810,114542,237744,51333,0,4560,6728,6475,10464,1804
2010,2162625,1357355,0,163329,293839,64461,19629,0,3684,0,14744,5266
2011,3204577,2039901,0,259033,402638,126937,20025,0,3479,0,21977,4276
2012,3609282,2652058,0,329008,439208,139016,19986,0,474,19986,25471,3345
2013,4374562,3117203,0,378769,469942,180301,0,0,0,29142,31712,4323
2014,5504656,3752760,0,472321,607186,269741,0,0,0,50219,35600,5343
2015,6779511,4591476,0,650788,824092,407329,132716,0,0,31225,37600,7012
2016,8830669,6029901,0,852098,991078,577799,150114,0,30828,0,38900,8912
2017,11692713,7659666,0,1052778,1278022,863568,238204,0,0,115154,39200,10200
2018,15794341,9967538,0,1221814,2369469,630294,420493,0,41725,0,40000,0
2019,20156447,12440213,0,1545149,2652462,914369,626023,0,84000,0,42345,0
2020,24996056,15276319,0,1829600,2228362,1076486,767499,0,0,618441,45455,0
2021,29697844,17332683,0,2273885,2545146,1351621,765620,0,411214,0,47343,0
